epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1035,1.58565,3.97129,1.4872,0.82732,0.2936,0.5288,0.23675,1.39344,3.44088,1.46468,0.000653061,0.000653061,0.000653061
2,30.5283,1.53373,3.77943,1.3327,0.73739,0.59184,0.72804,0.32945,1.64475,3.13162,1.65769,0.00130666,0.00130666,0.00130666
3,44.7207,1.46785,4.3044,1.2941,0.73739,0.59184,0.72804,0.32945,1.64475,3.13162,1.65769,0.00194706,0.00194706,0.00194706
4,58.9314,1.52694,3.64748,1.45254,0.00272,0.81633,0.13967,0.07446,2.13467,4.26921,1.72873,0.0019406,0.0019406,0.0019406
5,73.3058,2.39576,4.6192,1.88439,0.00122,0.36735,0.00162,0.00076,3.59938,7.21606,2.73005,0.0019208,0.0019208,0.0019208
6,88.8781,2.35075,4.84312,1.79122,0.57062,0.16277,0.29956,0.13276,1.78479,3.87208,1.66975,0.001901,0.001901,0.001901
7,105.124,1.82981,3.99924,1.65725,0.44391,0.44898,0.42409,0.15848,1.73985,3.80182,1.76964,0.0018812,0.0018812,0.0018812
8,120.948,1.63692,3.31152,1.51269,0.44391,0.44898,0.42409,0.15848,1.73985,3.80182,1.76964,0.0018614,0.0018614,0.0018614
9,137.191,1.70476,3.3458,1.50736,0.37066,0.44898,0.35141,0.10551,1.61971,5.53317,1.87121,0.0018416,0.0018416,0.0018416
10,153.031,1.5486,3.22975,1.45423,0.34596,0.55102,0.4331,0.13527,1.55822,4.09573,1.66998,0.0018218,0.0018218,0.0018218
11,168.845,1.5765,3.00883,1.44289,0.59108,0.61224,0.62048,0.24342,1.46734,2.86374,1.55838,0.001802,0.001802,0.001802
12,183.444,1.49229,2.96082,1.39623,0.59108,0.61224,0.62048,0.24342,1.46734,2.86374,1.55838,0.0017822,0.0017822,0.0017822
13,199.158,1.5867,2.87538,1.43221,0.58317,0.69388,0.68136,0.26579,1.55093,2.90939,1.6306,0.0017624,0.0017624,0.0017624
14,214.94,1.44117,2.76987,1.33373,0.62641,0.67347,0.70261,0.40382,1.39445,2.60177,1.30711,0.0017426,0.0017426,0.0017426
15,231.054,1.46808,2.56793,1.32782,0.67684,0.72674,0.74696,0.43279,1.41057,2.32437,1.30511,0.0017228,0.0017228,0.0017228
16,246.601,1.48287,2.61549,1.33746,0.67684,0.72674,0.74696,0.43279,1.41057,2.32437,1.30511,0.001703,0.001703,0.001703
17,262.309,1.43796,2.47524,1.28405,0.7894,0.63265,0.80971,0.424,1.36071,2.53765,1.2305,0.0016832,0.0016832,0.0016832
18,278.145,1.38172,2.42505,1.30445,0.59108,0.63265,0.65069,0.33104,1.26087,2.8995,1.3801,0.0016634,0.0016634,0.0016634
19,293.782,1.32855,2.61548,1.25446,0.82019,0.7551,0.84465,0.56291,1.2315,1.97848,1.38672,0.0016436,0.0016436,0.0016436
20,309.417,1.30559,2.40018,1.21792,0.82019,0.7551,0.84465,0.56291,1.2315,1.97848,1.38672,0.0016238,0.0016238,0.0016238
21,324.837,1.30457,2.05784,1.26541,0.73889,0.81633,0.80228,0.46831,1.2332,2.08846,1.32335,0.001604,0.001604,0.001604
22,340.22,1.33756,2.12283,1.28939,0.78086,0.79998,0.8808,0.50568,1.28256,2.33615,1.28753,0.0015842,0.0015842,0.0015842
23,355.76,1.16687,2.17672,1.17993,0.76377,0.92382,0.92905,0.56008,1.2722,2.02683,1.28062,0.0015644,0.0015644,0.0015644
24,371.204,1.17462,2.39487,1.1687,0.82573,0.77551,0.8308,0.55906,1.15134,2.00617,1.24349,0.0015446,0.0015446,0.0015446
25,387.217,1.40099,2.21302,1.30717,0.82573,0.77551,0.8308,0.55906,1.15134,2.00617,1.24349,0.0015248,0.0015248,0.0015248
26,403.699,1.18101,2.12837,1.17048,0.77302,0.79592,0.84413,0.57781,1.10257,1.9516,1.21053,0.001505,0.001505,0.001505
27,418.872,1.38008,2.13903,1.29875,0.79239,0.91837,0.89479,0.60864,1.09874,1.96541,1.20397,0.0014852,0.0014852,0.0014852
28,434.732,1.42092,2.10335,1.23575,0.91809,0.91501,0.93133,0.61822,1.04955,2.28226,1.16964,0.0014654,0.0014654,0.0014654
29,449.491,1.22662,1.6478,1.21922,0.91809,0.91501,0.93133,0.61822,1.04955,2.28226,1.16964,0.0014456,0.0014456,0.0014456
30,463.773,1.2118,1.85145,1.172,0.84194,0.86975,0.91674,0.59175,1.1163,1.69499,1.20924,0.0014258,0.0014258,0.0014258
31,478.113,1.19271,1.67,1.18927,0.64006,0.91837,0.7565,0.42064,1.19082,2.07628,1.24594,0.001406,0.001406,0.001406
32,492.557,1.25281,1.91101,1.16326,0.83807,0.73944,0.84441,0.5663,1.11955,1.81963,1.26158,0.0013862,0.0013862,0.0013862
33,506.833,1.12039,2.03805,1.11644,0.83807,0.73944,0.84441,0.5663,1.11955,1.81963,1.26158,0.0013664,0.0013664,0.0013664
34,521.187,1.16201,1.86801,1.15435,0.82655,0.91837,0.88873,0.57947,1.05382,1.62631,1.27523,0.0013466,0.0013466,0.0013466
